"train_1year" "train_5year" "test_1year" "test_5year"
"BLCA_Genes and covars_11" 0.849079645687146 0.796150227378591 0.575103603538868 0.628555058158167
"BLCA_Genes_11" 0.813917763021611 0.760247836377907 0.559913935784393 0.615060266595681
"BLCA_Covars_11" 0.687250121066063 0.693984126382135 0.495837820911369 0.524772312084964
"BLCA_Genes and covars_12" 0.838156982076321 0.880920222910446 0.645494953652983 0.630708529355198
"BLCA_Genes_12" 0.77888286002527 0.870768240611782 0.682229691007935 0.596999721997816
"BLCA_Covars_12" 0.688879719934972 0.695504553954068 0.499240482587282 0.56207661570512
"BLCA_Genes and covars_13" 0.78068219405068 0.789693010938665 0.637971871060645 0.7118587380802
"BLCA_Genes_13" 0.73090493631389 0.755364434667673 0.592728545705129 0.599016499820428
"BLCA_Covars_13" 0.647575441659383 0.667386805180999 0.624423580238999 0.709698456495062
"BLCA_Genes and covars_14" 0.826175953886365 0.820628905571915 0.607136929567692 0.559359168482085
"BLCA_Genes_14" 0.799343149154893 0.800401898900393 0.547223043612831 0.522143982648124
"BLCA_Covars_14" 0.665472030219132 0.690816252170901 0.591749170383231 0.623333170314476
"BLCA_Genes and covars_15" 0.849109539472504 0.820422510407224 0.513837488000399 0.647399856331111
"BLCA_Genes_15" 0.836414672191265 0.781043243676705 0.399340314240617 0.627202302875751
"BLCA_Covars_15" 0.641954275096688 0.672572861321789 0.690027138957419 0.571699156316995
"BLCA_Genes and covars_16" 0.838999902566062 0.911888068995269 0.712482659248803 0.632827667412788
"BLCA_Genes_16" 0.781078901229432 0.850369504975517 0.703530525621486 0.584012124140367
"BLCA_Covars_16" 0.659521156613394 0.674432661893824 0.613592061841053 0.607295554827111
"BLCA_Genes and covars_17" 0.829915519126385 0.871925880120871 0.625539190244956 0.731266202308333
"BLCA_Genes_17" 0.800337355530334 0.848204349946792 0.64168284951549 0.730222972715211
"BLCA_Covars_17" 0.652941323905733 0.674265696062816 0.63711061548389 0.685291496138103
"BLCA_Genes and covars_18" 0.794109230011782 0.858754600370184 0.708362633474033 0.591963389106782
"BLCA_Genes_18" 0.779959590865803 0.840836688353477 0.638211344314065 0.603502785613188
"BLCA_Covars_18" 0.628065051505481 0.689884360996103 0.711763101483906 0.598206828401573
"BLCA_Genes and covars_19" 0.797125252021698 0.837123259050217 0.733583493518624 0.692202080284375
"BLCA_Genes_19" 0.754751795525472 0.785580899491856 0.697596240656581 0.640498605982259
"BLCA_Covars_19" 0.63334537367107 0.655980094691312 0.679655578610252 0.730561764103212
"BLCA_Genes and covars_20" 0.816920403156759 0.782976111788911 0.514887722787286 0.643504683883224
"BLCA_Genes_20" 0.774909114514682 0.76767539612942 0.485800322318576 0.585735371637258
"BLCA_Covars_20" 0.64423121053352 0.600866944886983 0.697199897064986 0.804357842389184
"BLCA_Genes and covars_21" 0.775297337719986 0.838361507464227 0.667758313518233 0.624599202544125
"BLCA_Genes_21" 0.727399407635952 0.75851886781787 0.542743739757473 0.693427155249862
"BLCA_Covars_21" 0.648025060871363 0.743192387468332 0.638548333183908 0.396706355145619
"BLCA_Genes and covars_22" 0.838910997561632 0.863293273550317 0.593615056393946 0.664513611835559
"BLCA_Genes_22" 0.8216922845503 0.841087207977957 0.572986950809407 0.620645698059208
"BLCA_Covars_22" 0.653099824328457 0.645435487497541 0.634803041271318 0.712428226678497
"BLCA_Genes and covars_23" 0.804224509646753 0.861177808837401 0.713460043162606 0.647646803833103
"BLCA_Genes_23" 0.784908016243704 0.849751629438633 0.571021878095105 0.506542464865022
"BLCA_Covars_23" 0.597734466280221 0.606328285637358 0.769157322359273 0.797880389677941
"BLCA_Genes and covars_24" 0.801797725775984 0.896282630699834 0.71263864908 0.707886475590159
"BLCA_Genes_24" 0.788498816372964 0.881232168685121 0.678365473500527 0.692863875316072
"BLCA_Covars_24" 0.68115297311549 0.683947297421204 0.572332369893009 0.648092469807826
"BLCA_Genes and covars_25" 0.809433545243788 0.894805805534919 0.733203394556074 0.754547284891754
"BLCA_Genes_25" 0.778357640923442 0.843008420368346 0.616395733229708 0.756758934727849
"BLCA_Covars_25" 0.618562178125426 0.659810302704687 0.76817154434654 0.738446175947362
"BLCA_Genes and covars_26" 0.818348466738467 0.900869147426738 0.687448135397397 0.571006303921897
"BLCA_Genes_26" 0.784486337470748 0.851488095164938 0.569216726677722 0.482615950290887
"BLCA_Covars_26" 0.618193083712329 0.682551470484492 0.730090349070213 0.592166044000937
"BLCA_Genes and covars_27" 0.85667005516493 0.874887638950026 0.586271969177431 0.61725058015904
"BLCA_Genes_27" 0.836481654543073 0.854760047660054 0.553894358491621 0.550787844284111
"BLCA_Covars_27" 0.676591266185245 0.688006352088407 0.584043636324319 0.622597795233664
"BLCA_Genes and covars_28" 0.88677519924308 0.866312622867954 0.52317310209902 0.693691176375454
"BLCA_Genes_28" 0.869346734373315 0.86670074417203 0.502705277816849 0.558735038279431
"BLCA_Covars_28" 0.691955679508099 0.617943255228793 0.556046846641285 0.718120693915398
"BLCA_Genes and covars_29" 0.821133269951496 0.782823689070582 0.819951765558899 0.754312118994913
"BLCA_Genes_29" 0.798337888233619 0.748706068479496 0.634430450017998 0.667626366392103
"BLCA_Covars_29" 0.602169324063603 0.66742452696089 0.781406528434052 0.663039787312608
"BLCA_Genes and covars_30" 0.827495566899988 0.843341203644928 0.649940862440315 0.5636718223966
"BLCA_Genes_30" 0.815507619927183 0.837905365399198 0.649797103666645 0.484198153435462
"BLCA_Covars_30" 0.692984181022329 0.668596049839122 0.46081069389951 0.663404393799127
"BRCA_Genes and covars_1" 0.835720905200603 0.83916178193298 0.350384422776681 0.67726931449575
"BRCA_Genes_1" 0.836302914712616 0.805294874138526 0.325153916399093 0.673049559614235
"BRCA_Covars_1" 0.814988743224747 0.691611560603286 0.873405602851504 0.551952933728593
"BRCA_Genes and covars_2" 0.872020749211889 0.772502104526492 0.673486659579818 0.578396116484521
"BRCA_Genes_2" 0.828220049788863 0.76179407454519 0.567851643826835 0.501537245063262
"BRCA_Covars_2" 0.76475355476094 0.655286781700325 0.919947177472192 0.670189585952755
"BRCA_Genes and covars_3" 0.897338238976983 0.830122948830298 0.969501044932079 0.522670001506392
"BRCA_Genes_3" 0.840779137296736 0.780539219451553 0.982889237199582 0.546369235647521
"BRCA_Covars_3" 0.899397038235074 0.709193112431646 0.459095262974573 0.528576265934251
"BRCA_Genes and covars_4" 0.874151962094354 0.774845512429513 0.939675295980109 0.665375451186723
"BRCA_Genes_4" 0.802313176323488 0.745322979274294 0.896241732467003 0.682995819653415
"BRCA_Covars_4" 0.908807149587401 0.664921657663447 0.682545762798287 0.616359510564368
"BRCA_Genes and covars_5" 0.902193997978052 0.833604745993961 0.736437524481003 0.655238747880622
"BRCA_Genes_5" 0.878290511475764 0.787860847489859 0.793037602820212 0.652717659841443
"BRCA_Covars_5" 0.857015693389998 0.702742206758062 0.628537504896201 0.483991496751216
"BRCA_Genes and covars_6" 0.913797333035493 0.840350234876986 0.539701871215557 0.559432524340925
"BRCA_Genes_6" 0.888213719287261 0.806589952720801 0.534982381505059 0.556544518670297
"BRCA_Covars_6" 0.889082332988699 0.648220294533467 0.571455980412612 0.705178511063867
"BRCA_Genes and covars_7" 0.932300834468833 0.829841590441953 0.619930908098814 0.643075715230146
"BRCA_Genes_7" 0.915312977296023 0.825969687550118 0.592207302057265 0.533338124395686
"BRCA_Covars_7" 0.827095612999847 0.659236230718588 0.814332385978504 0.659270537774892
"BRCA_Genes and covars_8" 0.9195272879396 0.790827422622495 0.736053207198786 0.57162730166359
"BRCA_Genes_8" 0.859874454637372 0.77438293513361 0.728352424104811 0.48958073417648
"BRCA_Covars_8" 0.853819445331339 0.649171140829064 0.738635929562687 0.678598724824419
"BRCA_Genes and covars_9" 0.874748771264073 0.835755839874421 0.884390323635175 0.730461647655697
"BRCA_Genes_9" 0.850015565722979 0.810173618587014 0.814547237659366 0.674150429829112
"BRCA_Covars_9" 0.785780120035467 0.652101435286283 0.922965021248774 0.693362126850015
"BRCA_Genes and covars_10" 0.846384239385107 0.891293164191163 0.767965551948171 0.581104812629884
"BRCA_Genes_10" 0.79538203427466 0.869045339737764 0.720836057190801 0.481642333488608
"BRCA_Covars_10" 0.809158796270516 0.656341635161265 0.861239503880221 0.697190718262052
"BRCA_Genes and covars_11" 0.87996191062248 0.832133596208757 0.609729985781166 0.523386920622155
"BRCA_Genes_11" 0.760784216493426 0.726954853242636 0.52744816558442 0.475074561717422
"BRCA_Covars_11" 0.811302739363743 0.666206813361167 0.849095091455121 0.625991537007262
"BRCA_Genes and covars_12" 0.948074353204229 0.834822600948432 0.727035654111168 0.645074085114581
"BRCA_Genes_12" 0.884549502077772 0.822329917174196 0.713688955154419 0.646474219422104
"BRCA_Covars_12" 0.896196855064917 0.68241020196692 0.508868496916786 0.567611846160663
"BRCA_Genes and covars_13" 0.888344175846094 0.865666521524053 0.949685534591195 0.551918176605749
"BRCA_Genes_13" 0.866573903096681 0.827288596646322 0.924528301886792 0.431237713926937
"BRCA_Covars_13" 0.85298704635754 0.66694358415779 0.330188679245283 0.637010445206952
"BRCA_Genes and covars_14" 0.860051942460708 0.882292912813321 0.672129892879276 0.656556798432468
"BRCA_Genes_14" 0.816524113275777 0.864084501217317 0.631060893883157 0.597431902424851
"BRCA_Covars_14" 0.817035828130205 0.685687169412502 0.785706293602652 0.572022608552812
"BRCA_Genes and covars_15" 0.858913770544822 0.884640903125426 0.659950219272253 0.466893262563647
"BRCA_Genes_15" 0.849128543844706 0.842826176010449 0.329382481924855 0.447431614604266
"BRCA_Covars_15" 0.739860557836973 0.649497965523019 0.993006993006993 0.634357799004848
"BRCA_Genes and covars_16" 0.7494538928038 0.796351007499153 0.603124322908071 0.492781587987436
"BRCA_Genes_16" 0.70119307782377 0.741687817286975 0.528544710593732 0.466029024420506
"BRCA_Covars_16" 0.785676300219488 0.677605493927738 0.844027772870172 0.577524136174949
"BRCA_Genes and covars_17" 0.892723136980285 0.82231496143414 0.718275337242659 0.613824542569086
"BRCA_Genes_17" 0.813239267547926 0.78119110429343 0.657244571631389 0.609840579228544
"BRCA_Covars_17" 0.764884393464344 0.699742828363725 0.925021039638636 0.562669154500834
"BRCA_Genes and covars_18" 0.866172706756536 0.826843482218952 0.810265156725169 0.701457452559142
"BRCA_Genes_18" 0.790041318745063 0.78884793899397 0.702953151828212 0.65785520634523
"BRCA_Covars_18" 0.805347838950023 0.672961688711439 0.845970683953588 0.601572880353123
"BRCA_Genes and covars_19" 0.922553424266381 0.876011656898781 0.688848720765271 0.613428035045628
"BRCA_Genes_19" 0.892170356306782 0.855037574565256 0.571226365152026 0.534059048119167
"BRCA_Covars_19" 0.799999877788262 0.692475599610973 0.889015105010099 0.56674113250201
"BRCA_Genes and covars_20" 0.915706550657567 0.829958596689806 0.746217877935906 0.532166874801747
"BRCA_Genes_20" 0.890511154921956 0.817923076611901 0.696459996759414 0.549589920560851
"BRCA_Covars_20" 0.756829813930034 0.67102595058614 0.922625182658061 0.562060079036471
"BRCA_Genes and covars_21" 0.840414398938482 0.791730465351695 0.787672934944053 0.6255015760392
"BRCA_Genes_21" 0.804344174279658 0.756557863899919 0.67699215316976 0.592917788816467
"BRCA_Covars_21" 0.797855819365878 0.667321469273924 0.826674680309964 0.621471736481694
"BRCA_Genes and covars_22" 0.873411253650926 0.89061334604217 0.710535255926317 0.650473932037813
"BRCA_Genes_22" 0.848275926929242 0.868545928982514 0.662917107051185 0.616121627244802
"BRCA_Covars_22" 0.792245712557755 0.686168990801184 0.925194398308923 0.608156083230942
"BRCA_Genes and covars_23" 0.950620875638873 0.832561427712413 0.726354872329338 0.548092210168681
"BRCA_Genes_23" 0.930755097488448 0.816322570683891 0.673462741010943 0.493815437641551
"BRCA_Covars_23" 0.812146794542004 0.667453299570288 0.906022016675352 0.575320669042326
"BRCA_Genes and covars_24" 0.867341722682574 0.818333270446723 0.846153846153846 0.67911488800157
"BRCA_Genes_24" 0.81854498052794 0.802992163502584 0.878205128205128 0.695433453262565
"BRCA_Covars_24" 0.856125074993589 0.665597850040536 0.358974358974359 0.666999870153352
"BRCA_Genes and covars_25" 0.808443630935347 0.804685473830918 0.744054288557655 0.649927137380425
"BRCA_Genes_25" 0.783481355898657 0.78553932421611 0.698011027363274 0.613039850683261
"BRCA_Covars_25" 0.83335564611557 0.67373664031923 0.807378187553882 0.617000533113922
"BRCA_Genes and covars_26" 0.889270439501167 0.765470959397741 0.784412414167281 0.543520885570984
"BRCA_Genes_26" 0.868894589527222 0.718437764627361 0.688852704243334 0.512418732279027
"BRCA_Covars_26" 0.853752565390117 0.649023616299401 0.779009725695331 0.643968731228695
"BRCA_Genes and covars_27" 0.880931824743982 0.873061054093056 0.63030883229449 0.570461382611361
"BRCA_Genes_27" 0.862069668892248 0.829252365982779 0.569042964674338 0.560300594788162
"BRCA_Covars_27" 0.78842511409122 0.686614712299853 0.908944691192433 0.558335031426296
"BRCA_Genes and covars_28" 0.863384657659911 0.763728487195841 0.639109394211103 0.721770770456252
"BRCA_Genes_28" 0.825094109053821 0.766816688970408 0.534671831868328 0.597049327484766
"BRCA_Covars_28" 0.795193683299873 0.60498272302912 0.805014219018399 0.791642376652655
"BRCA_Genes and covars_29" 0.817841322061019 0.813065869873623 0.631082958291162 0.562111773052237
"BRCA_Genes_29" 0.707747704020391 0.747487105639094 0.475492465907614 0.462362266479578
"BRCA_Covars_29" 0.903191786992688 0.680802179013197 0.670740579410414 0.599565085769912
"BRCA_Genes and covars_30" 0.910191333659869 0.882726921313938 0.67306338028169 0.620699803465808
"BRCA_Genes_30" 0.863429976695684 0.853448063890714 0.813600352112676 0.57834795518559
"BRCA_Covars_30" 0.89061240948374 0.644822650612457 0.418584947183099 0.713171853159708
"COAD_Genes and covars_1" 0.802347425216375 0.80292693638817 0.788836848104028 0.486672073177886
"COAD_Genes_1" 0.729830607400232 0.751367583918812 0.665063429154051 0.497701075235696
"COAD_Covars_1" 0.708911153734237 0.70427498995652 0.781624291329756 0.59467292402388
"COAD_Genes and covars_2" 0.843270928514756 0.754313952752961 0.719695587338659 0.680570786854409
"COAD_Genes_2" 0.731309964098347 0.632796331212933 0.469309721923076 0.610473381685963
"COAD_Covars_2" 0.790300048342879 0.668135598242013 0.637724984545701 0.640232373599181
"COAD_Genes and covars_3" 0.838475506555557 0.877789287757408 0.766928815463088 0.495494018281011
"COAD_Genes_3" 0.802337475239977 0.844891166242219 0.513550356189851 0.488646109197033
"COAD_Covars_3" 0.69816786908477 0.779502195713817 0.819979567576934 0.506506506005598
"COAD_Genes and covars_4" 0.834622066737402 0.839180251379342 0.682674805405102 0.492645912399037
"COAD_Genes_4" 0.681294114701669 0.670231231667578 0.67783511581072 0.730338580293278
"COAD_Covars_4" 0.805509857291741 0.815196754741901 0.478235936968805 0.352984176759373
"COAD_Genes and covars_5" 0.812772112081102 0.825803056294401 0.873648280186202 0.787818360593055
"COAD_Genes_5" 0.687427063922757 0.77083551701609 0.795614383623422 0.884292045249339
"COAD_Covars_5" 0.760406113404574 0.716736573567783 0.773009486753921 0.665513274805785
"COAD_Genes and covars_6" 0.806248790077417 0.766154757457027 0.858143726441725 0.897944500301572
"COAD_Genes_6" 0.687325098449187 0.753277698103733 0.754196469362366 0.859664108727514
"COAD_Covars_6" 0.711320875320858 0.635199183440986 0.727581892186126 0.802495688229424
"COAD_Genes and covars_7" 0.830061910278517 0.783919309146127 0.735931469699315 0.741929270740574
"COAD_Genes_7" 0.730922687601552 0.751745652759819 0.657136298318138 0.808596090827234
"COAD_Covars_7" 0.800743458218005 0.703854030854279 0.593288318134101 0.519150554263879
"COAD_Genes and covars_8" 0.843673396789429 0.731628123177139 0.738104526941601 0.694865595603908
"COAD_Genes_8" 0.688232145307015 0.689769853037858 0.71246767952368 0.309639223461677
"COAD_Covars_8" 0.835617806414762 0.654384735930533 0.579556671734075 0.743454477707302
"COAD_Genes and covars_9" 0.789206213391333 0.759666681201622 0.812468996661484 0.764456312787488
"COAD_Genes_9" 0.68587317985339 0.704699105197813 0.591905465603789 0.694556855223796
"COAD_Covars_9" 0.716766030491696 0.647917307138608 0.787376618339692 0.751466569738029
"COAD_Genes and covars_10" 0.806988437894007 0.839609590011338 0.852617970599693 0.653373393389041
"COAD_Genes_10" 0.769915260818514 0.771997970817194 0.461488851567076 0.689647093257707
"COAD_Covars_10" 0.724288978339683 0.752947338847807 0.850352674911685 0.501243154200788
"COAD_Genes and covars_11" 0.832021759259373 0.78083767264831 0.875008210461277 0.939135594112763
"COAD_Genes_11" 0.719612230445498 0.758915783408601 0.697840521080732 0.895308752937112
"COAD_Covars_11" 0.707920163605753 0.616245843472198 0.850563287569372 0.910109223613792
"COAD_Genes and covars_12" 0.808959435621162 0.855389669127985 0.975284714599341 0.649070584651083
"COAD_Genes_12" 0.730949998787248 0.820919306241509 0.494019888908798 0.663403542250656
"COAD_Covars_12" 0.699086256086624 0.722761649303705 0.944532107574094 0.52686623847621
"COAD_Genes and covars_13" 0.828393634595489 0.86072133083072 0.863724326359809 0.760536827401649
"COAD_Genes_13" 0.704614027872694 0.850033318182642 0.762751688719914 0.69436551558189
"COAD_Covars_13" 0.735581343231457 0.71801049722314 0.600290255245342 0.63279577520639
"COAD_Genes and covars_14" 0.854463870681402 0.859790361914939 0.847068129383222 0.691579232477229
"COAD_Genes_14" 0.729919793314098 0.836806095940093 0.764619965436371 0.686689676580393
"COAD_Covars_14" 0.693663864250247 0.685634693188406 0.779283864173823 0.59945422193286
"COAD_Genes and covars_15" 0.83875354068415 0.736583652877896 0.687801597275967 0.869373524791793
"COAD_Genes_15" 0.757982962275663 0.843633566981698 0.595661268996279 0.642536919875585
"COAD_Covars_15" 0.76545161369752 0.583516759643652 0.642036476192803 0.790281520570639
"COAD_Genes and covars_16" 0.844118759117862 0.830170370799291 0.694680601607907 0.566029086970809
"COAD_Genes_16" 0.739645553071921 0.816550128557075 0.559549214537561 0.510130114822553
"COAD_Covars_16" 0.778294903127345 0.687132288967944 0.688857745696109 0.619724361632574
"COAD_Genes and covars_17" 0.856479529036791 0.863895380008681 0.711759969766793 0.533037352479133
"COAD_Genes_17" 0.745572384596816 0.856501194005978 0.603505228876487 0.413219051555917
"COAD_Covars_17" 0.748868332783423 0.677979899667823 0.714720194979457 0.61954775317736
"COAD_Genes and covars_18" 0.813838606502148 0.901870814221606 0.794344430919769 0.571775654901011
"COAD_Genes_18" 0.758430441327775 0.869150723841958 0.438918520333903 0.28222335097708
"COAD_Covars_18" 0.74714810709691 0.752052843994773 0.75146824598161 0.551559779917738
"COAD_Genes and covars_19" 0.88663457867736 0.780814896616586 0.785284286889786 0.645536683588057
"COAD_Genes_19" 0.779410258264127 0.704596540490068 0.592874918880618 0.681323153293877
"COAD_Covars_19" 0.771950670768946 0.727113987692081 0.752218578035471 0.568777260324756
"COAD_Genes and covars_20" 0.839359507182331 0.806281841710441 0.76461010852959 0.71729737218034
"COAD_Genes_20" 0.709863348906602 0.760484936872378 0.634638705194471 0.698156817961543
"COAD_Covars_20" 0.746957977150489 0.67424548466402 0.667456163745874 0.557403226622055
"COAD_Genes and covars_21" 0.853252467073344 0.833894320152612 0.788875736508314 0.613421932092553
"COAD_Genes_21" 0.723959756065558 0.798777937922729 0.674609853362898 0.539131546494667
"COAD_Covars_21" 0.784296060778626 0.67554430209815 0.644330471837322 0.560425993195328
"COAD_Genes and covars_22" 0.719314018743087 0.769739503807258 0.835880273513437 0.771308983099606
"COAD_Genes_22" 0.645847739048352 0.713998622780586 0.483554571993849 0.691012549344591
"COAD_Covars_22" 0.633277220424609 0.713110615932139 0.838631680783119 0.544205567320276
"COAD_Genes and covars_23" 0.772710140060803 0.775901498675254 0.883629958440837 0.766537383883143
"COAD_Genes_23" 0.680227885922189 0.752722934091186 0.74867264711867 0.503879171939633
"COAD_Covars_23" 0.742354036996434 0.659528936566692 0.75977517320433 0.745058639141953
"COAD_Genes and covars_24" 0.819135011569675 0.811484568899064 0.919755724748444 0.682848145940769
"COAD_Genes_24" 0.678319187373971 0.749087270656087 0.960442970528308 0.86785702692714
"COAD_Covars_24" 0.743840665593726 0.67284716006085 0.829227065388785 0.674283560749173
"COAD_Genes and covars_25" 0.832315651164358 0.788499857614831 0.750082813069992 0.84233303029679
"COAD_Genes_25" 0.662836691185575 0.74501934074293 0.730938024386078 1
"COAD_Covars_25" 0.746189720394841 0.699798499413436 0.607409992886044 0.532720544706858
"COAD_Genes and covars_26" 0.787076470155907 0.794753629024347 0.879384017756697 0.657659104150767
"COAD_Genes_26" 0.69702343147261 0.790267810532205 0.64913676918687 0.48456619772787
"COAD_Covars_26" 0.739307264353273 0.669383121383101 0.78409465914409 0.61369246252197
"COAD_Genes and covars_27" 0.776819346173825 0.807311685930105 0.783698231037643 0.594340060251782
"COAD_Genes_27" 0.684322227662704 0.70342726033262 0.74030372872157 0.729961872946086
"COAD_Covars_27" 0.731780606175525 0.714573452143649 0.792605501539114 0.437481664116614
"COAD_Genes and covars_28" 0.854888250072496 0.811960252738399 0.612915521422204 0.674861969417052
"COAD_Genes_28" 0.758405415718952 0.716796549205722 0.507553181191273 0.73109240632384
"COAD_Covars_28" 0.772568167433733 0.717594836841609 0.666517607629345 0.590888611553541
"COAD_Genes and covars_29" 0.908863645475791 0.748104786847584 0.441570395814196 0.67983938208097
"COAD_Genes_29" 0.710729819107042 0.676148312605057 0.447063114632098 0.607895138978767
"COAD_Covars_29" 0.843662641065067 0.678711716540802 0.451826228066186 0.643874335754715
"COAD_Genes and covars_30" 0.876341211561199 0.826509845636989 0.757406646117745 0.762441471640723
"COAD_Genes_30" 0.744037645057813 0.840343785510694 0.610199338945994 0.60890095021602
"COAD_Covars_30" 0.734234190699276 0.633601474972448 0.777933307956819 0.765218934077155
"ESCA_Genes and covars_1" 0.734892295583821 NA 0.479057099924869 0.851794071762871
"ESCA_Genes_1" 0.720237943312663 NA 0.509485349361382 0.903666146645866
"ESCA_Covars_1" 0.434534621205077 NA 0.442853117956424 0.951833073322933
"ESCA_Genes and covars_3" 0.811286114623352 0.908335503790762 0.272727272727273 NA
"ESCA_Genes_3" 0.732206552340423 0.956814555508978 0.272727272727273 NA
"ESCA_Covars_3" 0.45004461667013 0.894749497916971 0.454545454545455 NA
"ESCA_Genes and covars_4" 0.835726730789591 0.969338788910231 0.305449273791459 NA
"ESCA_Genes_4" 0.739272711397792 1 0.256038189175518 NA
"ESCA_Covars_4" 0.36920867747459 0.889050098993433 0.51788965965749 NA
"ESCA_Genes and covars_5" 0.704561538417047 0.840151021918501 0.928571428571429 NA
"ESCA_Genes_5" 0.646157544173098 0.910694932631948 0.964285714285714 NA
"ESCA_Covars_5" 0.576275518757875 0.947237438976829 0.285714285714286 NA
"ESCA_Genes and covars_6" 0.77222513745433 0.85898560744617 0.522087958869568 NA
"ESCA_Genes_6" 0.723232385372748 0.928758430818695 0.537249893571733 NA
"ESCA_Covars_6" 0.415225504559637 0.938631276992041 0.451157612077152 NA
"ESCA_Genes and covars_7" 0.763151855702726 0.935099304613197 0.623824451410658 NA
"ESCA_Genes_7" 0.774802252799778 0.990656744536868 0.768025078369906 NA
"ESCA_Covars_7" 0.491596306467506 0.893070611786374 0.0877742946708464 NA
"ESCA_Genes and covars_8" 0.783033674440152 0.851976325319743 1 NA
"ESCA_Genes_8" 0.786675957259009 0.851976325319743 0.636363636363636 NA
"ESCA_Covars_8" 0.463561325906535 0.914759796914488 0.0909090909090909 NA
"ESCA_Genes and covars_10" 0.807603629193874 0.897662412082002 0.690555186905552 NA
"ESCA_Genes_10" 0.767852266808484 0.907379143598452 0.598540145985402 NA
"ESCA_Covars_10" 0.526200716006165 0.917069900224709 0.38586595885866 NA
"ESCA_Genes and covars_11" 0.817521833739821 0.822209551199557 0.0716662647697131 NA
"ESCA_Genes_11" 0.816801647857804 0.980641197097034 0.127755003617073 NA
"ESCA_Covars_11" 0.432068158004631 0.954771979372992 0.395466602363154 NA
"ESCA_Genes and covars_13" 0.807797384492241 0.933874168428237 0.483127253992787 NA
"ESCA_Genes_13" 0.771493578134183 1 0.431178086896789 NA
"ESCA_Covars_13" 0.50108661155152 0.872560301960525 0.223381418512794 NA
"ESCA_Genes and covars_14" 0.632119886016865 0.934798344745616 0.860294117647059 NA
"ESCA_Genes_14" 0.635459612504721 0.989841859875134 0.776960784313726 NA
"ESCA_Covars_14" 0.412858821966297 0.897648014129983 0.593137254901961 NA
"ESCA_Genes and covars_15" 0.776380071354527 0.898783539736667 0.728331059572533 NA
"ESCA_Genes_15" 0.800075097336084 0.898783539736667 0.693466727300288 NA
"ESCA_Covars_15" 0.534027009171973 0.939672931802374 0.253190844323177 NA
"ESCA_Genes and covars_19" 0.659901554444014 NA 0.402777777777778 0.623046875
"ESCA_Genes_19" 0.696461874988483 NA 0.791666666666667 1
"ESCA_Covars_19" 0.492411420075285 NA 0.236111111111111 0.912109375
"ESCA_Genes and covars_25" 0.861797655571407 NA 0.437225636523266 0.818677021062629
