"Concordance" "se"
"BLCA Covars test8" 0.656686626746507 NA
"BLCA Genes and covars train9" 0.821726091302899 0.0233081609547802
"BLCA Genes and covars test9" 0.619327731092437 NA
"BLCA Genes train9" 0.775741419526824 0.0280522312944388
"BLCA Genes test9" 0.618487394957983 NA
"BLCA Covars train9" 0.688228923692103 0.0312271054280724
"BLCA Covars test9" 0.492320819112628 NA
"BLCA Genes and covars train10" 0.784766301211771 0.0274520356829056
"BLCA Genes and covars test10" 0.621024734982332 NA
"BLCA Genes train10" 0.753853763086308 0.0320225103034171
"BLCA Genes test10" 0.59452296819788 NA
"BLCA Covars train10" 0.651141703074767 0.0312216567290142
"BLCA Covars test10" 0.593554162936437 NA
"BLCA Genes and covars train11" 0.795782189636708 0.024897309947531
"BLCA Genes and covars test11" 0.652631578947368 NA
"BLCA Genes train11" 0.755910701046215 0.0249557087954983
"BLCA Genes test11" 0.612280701754386 NA
"BLCA Covars train11" 0.657714803525826 0.0323309044728263
"BLCA Covars test11" 0.583554376657825 NA
"BLCA Genes and covars train12" 0.771943887775551 0.026547783298601
"BLCA Genes and covars test12" 0.650579150579151 NA
"BLCA Genes train12" 0.733787575150301 0.0291425146777305
"BLCA Genes test12" 0.608108108108108 NA
"BLCA Covars train12" 0.633066132264529 0.0328448184955755
"BLCA Covars test12" 0.6511175898931 NA
"BLCA Genes and covars train13" 0.79383477188656 0.0279588986043462
"BLCA Genes and covars test13" 0.621280432822363 NA
"BLCA Genes train13" 0.767118783394986 0.0284566546569504
"BLCA Genes test13" 0.547339945897205 NA
"BLCA Covars train13" 0.644019728729963 0.0335588860414378
"BLCA Covars test13" 0.64775846294602 NA
"BLCA Genes and covars train14" 0.803172126885075 0.024880871444216
"BLCA Genes and covars test14" 0.617848970251716 NA
"BLCA Genes train14" 0.785751430057202 0.0241363685195956
"BLCA Genes test14" 0.558352402745995 NA
"BLCA Covars train14" 0.648725949037962 0.0332439625213771
"BLCA Covars test14" 0.608929946112394 NA
"BLCA Genes and covars train15" 0.792371475953565 0.0256644094183947
"BLCA Genes and covars test15" 0.679966044142615 NA
"BLCA Genes train15" 0.739800995024876 0.0289317048532195
"BLCA Genes test15" 0.641765704584041 NA
"BLCA Covars train15" 0.641583747927032 0.0320102623846879
"BLCA Covars test15" 0.641509433962264 NA
"BLCA Genes and covars train16" 0.773864855202002 0.0264732761935567
"BLCA Genes and covars test16" 0.641289437585734 NA
"BLCA Genes train16" 0.743922059349303 0.0294977377017307
"BLCA Genes test16" 0.631687242798354 NA
"BLCA Covars train16" 0.635457633178405 0.0335102320575617
"BLCA Covars test16" 0.650519031141868 NA
"BLCA Genes and covars train17" 0.781508393886244 0.026096909282056
"BLCA Genes and covars test17" 0.679831932773109 NA
"BLCA Genes train17" 0.764637100141986 0.030032986917352
"BLCA Genes test17" 0.641176470588235 NA
"BLCA Covars train17" 0.636056126284139 0.0317272195520161
"BLCA Covars test17" 0.643581081081081 NA
"BLCA Genes and covars train18" 0.775661717236927 0.0294278104117344
"BLCA Genes and covars test18" 0.738712776176753 NA
"BLCA Genes train18" 0.735232408005165 0.0309989979927908
"BLCA Genes test18" 0.706051873198847 NA
"BLCA Covars train18" 0.627461265332473 0.033144900861047
"BLCA Covars test18" 0.687620889748549 NA
"BLCA Genes and covars train19" 0.79347054648687 0.0246861700105787
"BLCA Genes and covars test19" 0.58932384341637 NA
"BLCA Genes train19" 0.769073811213627 0.0282564439676374
"BLCA Genes test19" 0.548042704626334 NA
"BLCA Covars train19" 0.622649041873669 0.0340835938297981
"BLCA Covars test19" 0.699134199134199 NA
"BLCA Genes and covars train20" 0.773482692131117 0.0269771401079622
"BLCA Genes and covars test20" 0.640368178829717 NA
"BLCA Genes train20" 0.722523184280599 0.0334218197750344
"BLCA Genes test20" 0.56870479947403 NA
"BLCA Covars train20" 0.66077495179506 0.0342094949513589
"BLCA Covars test20" 0.577969475779695 NA
"BLCA Genes and covars train21" 0.825833547612925 0.0208492389110197
"BLCA Genes and covars test21" 0.6234375 NA
"BLCA Genes train21" 0.810748264335305 0.0215342968333779
"BLCA Genes test21" 0.596875 NA
"BLCA Covars train21" 0.646438673180766 0.0323062880381006
"BLCA Covars test21" 0.634357762017337 NA
"BLCA Genes and covars train22" 0.790638959021169 0.0244921019484017
"BLCA Genes and covars test22" 0.645962732919255 NA
"BLCA Genes train22" 0.777918042338318 0.0265042737094436
"BLCA Genes test22" 0.533596837944664 NA
"BLCA Covars train22" 0.60234997086813 0.0366414004062596
"BLCA Covars test22" 0.722001137009665 NA
"BLCA Genes and covars train23" 0.782656329007248 0.0258909927020983
"BLCA Genes and covars test23" 0.713821138211382 NA
"BLCA Genes train23" 0.772374852519804 0.025779127801308
"BLCA Genes test23" 0.671544715447154 NA
"BLCA Covars train23" 0.650429799426934 0.0335538667677199
"BLCA Covars test23" 0.635767022149303 NA
"BLCA Genes and covars train24" 0.800318979266348 0.0238125275794543
"BLCA Genes and covars test24" 0.675025075225677 NA
"BLCA Genes train24" 0.766028708133971 0.0259506365767454
"BLCA Genes test24" 0.57271815446339 NA
"BLCA Covars train24" 0.625637958532695 0.0321993737170797
"BLCA Covars test24" 0.72635814889336 NA
"BLCA Genes and covars train25" 0.793562096647253 0.0240070099603019
"BLCA Genes and covars test25" 0.667013527575442 NA
"BLCA Genes train25" 0.754918935935778 0.0256992584877789
"BLCA Genes test25" 0.571279916753382 NA
"BLCA Covars train25" 0.635683928852511 0.0331442115154135
"BLCA Covars test25" 0.665271966527197 NA
"BLCA Genes and covars train26" 0.803321760345313 0.0313398300093988
"BLCA Genes and covars test26" 0.637032495401594 NA
"BLCA Genes train26" 0.774608238716337 0.0334104086187867
"BLCA Genes test26" 0.602697731453096 NA
"BLCA Covars train26" 0.662193863188515 0.0331511516657753
"BLCA Covars test26" 0.603086419753086 NA
"BLCA Genes and covars train27" 0.835534013036938 0.0206844977312446
"BLCA Genes and covars test27" 0.604060913705584 NA
"BLCA Genes train27" 0.826759150927628 0.0210073124543936
"BLCA Genes test27" 0.563451776649746 NA
"BLCA Covars train27" 0.654938993815811 0.0319281390444623
"BLCA Covars test27" 0.592183517417162 NA
"BLCA Genes and covars train28" 0.775163970266725 0.0281137601436985
"BLCA Genes and covars test28" 0.767222625090645 NA
"BLCA Genes train28" 0.75006558810669 0.0281395155972367
"BLCA Genes test28" 0.628716461203771 NA
"BLCA Covars train28" 0.624005247048535 0.0323911102264246
"BLCA Covars test28" 0.710737764791819 NA
"BLCA Genes and covars train29" 0.797636632200886 0.0279485618633258
"BLCA Genes and covars test29" 0.673693858845096 NA
"BLCA Genes train29" 0.781470539963893 0.0282429390745405
"BLCA Genes test29" 0.629697525206233 NA
"BLCA Covars train29" 0.65132118824881 0.0320861806610727
"BLCA Covars test29" 0.598526703499079 NA
"BRCA Genes and covars train" 0.81088534107402 0.0392446963955061
"BRCA Genes and covars test" 0.624565469293163 NA
"BRCA Genes train" 0.79288824383164 0.0405646393552095
"BRCA Genes test" 0.592893008883739 NA
"BRCA Covars train" 0.700471698113208 0.0397576776614235
"BRCA Covars test" 0.682403433476395 NA
"BRCA Genes and covars train1" 0.821522309711286 0.0270891451692521
"BRCA Genes and covars test1" 0.592592592592593 NA
"BRCA Genes train1" 0.787926509186352 0.0308733472416479
"BRCA Genes test1" 0.507309941520468 NA
"BRCA Covars train1" 0.688517060367454 0.0363789773115567
"BRCA Covars test1" 0.734613490891187 NA
"BRCA Genes and covars train2" 0.847041285890207 0.025106567556025
"BRCA Genes and covars test2" 0.585526315789474 NA
"BRCA Genes train2" 0.805820208697906 0.0297307907722654
"BRCA Genes test2" 0.571356275303644 NA
"BRCA Covars train2" 0.767094432562058 0.0304826453149515
"BRCA Covars test2" 0.52 NA
"BRCA Genes and covars train3" 0.785927627800115 0.0276937638296094
"BRCA Genes and covars test3" 0.783382789317507 NA
"BRCA Genes train3" 0.754451464675474 0.0283201237608175
"BRCA Genes test3" 0.721810089020771 NA
"BRCA Covars train3" 0.69290637564618 0.0370590241532415
"BRCA Covars test3" 0.718352059925094 NA
"BRCA Genes and covars train4" 0.824 0.0262154356725068
"BRCA Genes and covars test4" 0.603951081843838 NA
"BRCA Genes train4" 0.797095890410959 0.0273917112796849
"BRCA Genes test4" 0.55409219190969 NA
"BRCA Covars train4" 0.72786301369863 0.0307443639551901
"BRCA Covars test4" 0.574144486692015 NA
"BRCA Genes and covars train5" 0.831214322781526 0.0267504278902456
"BRCA Genes and covars test5" 0.603811434302909 NA
"BRCA Genes train5" 0.801440062272963 0.0294374860960271
"BRCA Genes test5" 0.573219658976931 NA
"BRCA Covars train5" 0.712765957446808 0.0360683530372611
"BRCA Covars test5" 0.669039145907473 NA
"BRCA Genes and covars train6" 0.850360910605219 0.0233872906426013
"BRCA Genes and covars test6" 0.591688089117395 NA
"BRCA Genes train6" 0.823500832870627 0.0242593276870419
"BRCA Genes test6" 0.559125964010283 NA
"BRCA Covars train6" 0.727963631315936 0.0372920606221962
"BRCA Covars test6" 0.640103941100043 NA
"BRCA Genes and covars train7" 0.815603323947531 0.0286506795534786
"BRCA Genes and covars test7" 0.678003533568905 NA
"BRCA Genes train7" 0.786827827759083 0.0298355582629958
"BRCA Genes test7" 0.622349823321555 NA
"BRCA Covars train7" 0.712554082823982 0.0399373212687483
"BRCA Covars test7" 0.687946428571429 NA
"BRCA Genes and covars train8" 0.841706392861508 0.025075187793222
"BRCA Genes and covars test8" 0.744706594071385 NA
"BRCA Genes train8" 0.82031536486982 0.0280190294400756
"BRCA Genes test8" 0.690260133091349 NA
"BRCA Covars train8" 0.691510817748441 0.0350378887691065
"BRCA Covars test8" 0.726002430133657 NA
"BRCA Genes and covars train9" 0.848351354959284 0.0281528148324873
"BRCA Genes and covars test9" 0.657733897508228 NA
"BRCA Genes train9" 0.819450006674676 0.0323569782938998
"BRCA Genes test9" 0.564645039962388 NA
"BRCA Covars train9" 0.705079428647711 0.0361436857351234
"BRCA Covars test9" 0.695920303605313 NA
"BRCA Genes and covars train10" 0.821378537405436 0.0282795007541348
"BRCA Genes and covars test10" 0.540205303678358 NA
"BRCA Genes train10" 0.759106192210703 0.0330085175141897
"BRCA Genes test10" 0.482891360136869 NA
"BRCA Covars train10" 0.700161109554497 0.0401546893768507
"BRCA Covars test10" 0.689282627484875 NA
"BRCA Genes and covars train11" 0.835648783702158 0.0225416395730581
"BRCA Genes and covars test11" 0.71036315323295 NA
"BRCA Genes train11" 0.800615012904289 0.0234150071388409
"BRCA Genes test11" 0.678476527900797 NA
"BRCA Covars train11" 0.713305145241887 0.034421378170029
"BRCA Covars test11" 0.646001796945193 NA
"BRCA Genes and covars train12" 0.859908155554264 0.0257588892439621
"BRCA Genes and covars test12" 0.597938144329897 NA
"BRCA Genes train12" 0.822879730279602 0.0291544431463227
"BRCA Genes test12" 0.547864506627393 NA
"BRCA Covars train12" 0.723740045340929 0.033611620319588
"BRCA Covars test12" 0.600596125186289 NA
"BRCA Genes and covars train13" 0.83591515729266 0.0355290972398601
"BRCA Genes and covars test13" 0.656862745098039 NA
"BRCA Genes train13" 0.806482364156339 0.0356276067372529
"BRCA Genes test13" 0.622875816993464 NA
"BRCA Covars train13" 0.710944947569113 0.0359303524185892
"BRCA Covars test13" 0.664911125740619 NA
"BRCA Genes and covars train14" 0.845022624434389 0.0252521054905648
"BRCA Genes and covars test14" 0.490102929532858 NA
"BRCA Genes train14" 0.81408371040724 0.0252425824795597
"BRCA Genes test14" 0.400633412509897 NA
"BRCA Covars train14" 0.675593891402715 0.036106650392234
"BRCA Covars test14" 0.771132376395534 NA
"BRCA Genes and covars train15" 0.784471132232997 0.0364948998168832
"BRCA Genes and covars test15" 0.523012552301255 NA
"BRCA Genes train15" 0.744717744525079 0.0405528753601675
"BRCA Genes test15" 0.467573221757322 NA
"BRCA Covars train15" 0.699409158050222 0.0362474652814658
"BRCA Covars test15" 0.703919491525424 NA
"BRCA Genes and covars train16" 0.850564911532722 0.0259099858516261
"BRCA Genes and covars test16" 0.620689655172414 NA
"BRCA Genes train16" 0.809493356071911 0.0307684027818186
"BRCA Genes test16" 0.581338742393509 NA
"BRCA Covars train16" 0.718716691536986 0.037040050438033
"BRCA Covars test16" 0.647973802701596 NA
"BRCA Genes and covars train17" 0.813753753753754 0.0269231536838712
"BRCA Genes and covars test17" 0.76284083703234 NA
"BRCA Genes train17" 0.76960960960961 0.0300951533001951
"BRCA Genes test17" 0.714648065948003 NA
"BRCA Covars train17" 0.694564564564565 0.0380404526022856
"BRCA Covars test17" 0.708520179372197 NA
"BRCA Genes and covars train18" 0.870708043762472 0.0195809619390001
"BRCA Genes and covars test18" 0.663902226102139 NA
"BRCA Genes train18" 0.826051056216886 0.0269005016157193
"BRCA Genes test18" 0.572675687472719 NA
"BRCA Covars train18" 0.70250464460194 0.0375374820294138
"BRCA Covars test18" 0.680813439434129 NA
"BRCA Genes and covars train19" 0.837237905587443 0.0213602430588428
"BRCA Genes and covars test19" 0.629910406616127 NA
"BRCA Genes train19" 0.812287688883683 0.0221542809265552
"BRCA Genes test19" 0.60303239145417 NA
"BRCA Covars train19" 0.689791495841631 0.0333940009347208
"BRCA Covars test19" 0.716459197786999 NA
"BRCA Genes and covars train20" 0.804045196329359 0.0320929088528309
"BRCA Genes and covars test20" 0.722504230118443 NA
"BRCA Genes train20" 0.769898245833073 0.03432943549439
"BRCA Genes test20" 0.642413987591653 NA
"BRCA Covars train20" 0.696672701167364 0.0370212697935403
"BRCA Covars test20" 0.714367160775371 NA
"BRCA Genes and covars train21" 0.86639134481154 0.0245182714142087
"BRCA Genes and covars test21" 0.617361111111111 NA
"BRCA Genes train21" 0.843706375058167 0.0278837388848533
"BRCA Genes test21" 0.551388888888889 NA
"BRCA Covars train21" 0.693083992554677 0.0360561385266699
"BRCA Covars test21" 0.72027972027972 NA
"BRCA Genes and covars train22" 0.848557692307692 0.0259994031615588
"BRCA Genes and covars test22" 0.631952017448201 NA
"BRCA Genes train22" 0.82995951417004 0.0255118727984686
"BRCA Genes test22" 0.578516902944384 NA
"BRCA Covars train22" 0.710115131578947 0.0366645208911441
"BRCA Covars test22" 0.628729281767956 NA
"BRCA Genes and covars train23" 0.811090063716205 0.0304960034819624
"BRCA Genes and covars test23" 0.60381861575179 NA
"BRCA Genes train23" 0.791171574536479 0.0310809159420524
"BRCA Genes test23" 0.620525059665871 NA
"BRCA Covars train23" 0.721399460421331 0.033723932420351
"BRCA Covars test23" 0.576954069298952 NA
"BRCA Genes and covars train24" 0.804676489429853 0.0338237650605308
"BRCA Genes and covars test24" 0.6309963099631 NA
"BRCA Genes train24" 0.787059577194106 0.0350123930356038
"BRCA Genes test24" 0.582498682129678 NA
"BRCA Covars train24" 0.704292120435618 0.0384278693235459
"BRCA Covars test24" 0.67678381256656 NA
"BRCA Genes and covars train25" 0.809258152354387 0.0293151149360973
"BRCA Genes and covars test25" 0.709090909090909 NA
"BRCA Genes train25" 0.773394434482301 0.0307180209985415
"BRCA Genes test25" 0.64688995215311 NA
"BRCA Covars train25" 0.680978946669323 0.0388764021310022
"BRCA Covars test25" 0.746499275712216 NA
"BRCA Genes and covars train26" 0.847601942393401 0.0261703086363868
"BRCA Genes and covars test26" 0.598020735155514 NA
"BRCA Genes train26" 0.817800838156057 0.0278809110393401
"BRCA Genes test26" 0.578699340245052 NA
"BRCA Covars train26" 0.715991485398789 0.0369518198055389
"BRCA Covars test26" 0.648121730860675 NA
"BRCA Genes and covars train27" 0.784432401998733 0.0363117460400257
"BRCA Genes and covars test27" 0.640631668800683 NA
"BRCA Genes train27" 0.750158350341333 0.033203124538937
"BRCA Genes test27" 0.555697823303457 NA
"BRCA Covars train27" 0.670842423815891 0.0410368345367017
"BRCA Covars test27" 0.743666809789609 NA
"BRCA Genes and covars train28" 0.790739282902741 0.038021442419053
"BRCA Genes and covars test28" 0.57847533632287 NA
"BRCA Genes train28" 0.718886423817362 0.0432003735601838
"BRCA Genes test28" 0.471667346106808 NA
"BRCA Covars train28" 0.751914406355113 0.0344199805267784
"BRCA Covars test28" 0.576095947063689 NA
"BRCA Genes and covars train29" 0.837218837863168 0.0240329128903519
"BRCA Genes and covars test29" 0.605374823196605 NA
"BRCA Genes train29" 0.79293580131209 0.0291719646792662
"BRCA Genes test29" 0.573550212164074 NA
"BRCA Covars train29" 0.708147844423618 0.0355663266050174
"BRCA Covars test29" 0.665951359084406 NA
"COAD Genes and covars train" 0.748637986098065 0.0440226732629569
"COAD Genes and covars test" 0.77602523659306 NA
"COAD Genes train" 0.72249251497006 0.0415931179744779
"COAD Genes test" 0.690851735015773 NA
"COAD Covars train" 0.64437347360511 0.0494580590698184
"COAD Covars test" 0.815286624203822 NA
"COAD Genes and covars train1" 0.816364114706656 0.0357365432393127
"COAD Genes and covars test1" 0.692722371967655 NA
"COAD Genes train1" 0.710953878406709 0.0473940349165293
"COAD Genes test1" 0.602425876010782 NA
"COAD Covars train1" 0.739147592738753 0.0413803403129245
"COAD Covars test1" 0.595658073270014 NA
"COAD Genes and covars train2" 0.828074245939675 0.0374530554594793
"COAD Genes and covars test2" 0.658753709198813 NA
"COAD Genes train2" 0.790203327171904 0.041868156756918
"COAD Genes test2" 0.528189910979229 NA
"COAD Covars train2" 0.702320185614849 0.0464943764087219
"COAD Covars test2" 0.685074626865672 NA
"COAD Genes and covars train3" 0.797322348094748 0.0405308276476223
"COAD Genes and covars test3" 0.659362549800797 NA
"COAD Genes train3" 0.679113664341403 0.0565703782153266
"COAD Genes test3" 0.705179282868526 NA
"COAD Covars train3" 0.751493305870237 0.0416746922568526
"COAD Covars test3" 0.468302658486708 NA
"COAD Genes and covars train4" 0.817689955304634 0.0357435410563853
"COAD Genes and covars test4" 0.755813953488372 NA
"COAD Genes train4" 0.753234533051047 0.0503443479455642
"COAD Genes test4" 0.685878962536023 NA
"COAD Covars train4" 0.708539167254764 0.0447855446966408
"COAD Covars test4" 0.691970802919708 NA
"COAD Genes and covars train5" 0.779346210995542 0.0413698707364979
"COAD Genes and covars test5" 0.817427385892116 NA
"COAD Genes train5" 0.716012830002467 0.0475214532535364
"COAD Genes test5" 0.713692946058091 NA
"COAD Covars train5" 0.645492818226845 0.0518517571141749
"COAD Covars test5" 0.731944444444445 NA
"COAD Genes and covars train6" 0.808183589521541 0.0405185477565316
"COAD Genes and covars test6" 0.597806215722121 NA
"COAD Genes train6" 0.703472072460643 0.060629076981144
"COAD Genes test6" 0.652650822669104 NA
"COAD Covars train6" 0.765750162372808 0.0374604192638602
"COAD Covars test6" 0.460550458715596 NA
"COAD Genes and covars train7" 0.748000969227041 0.0533243830070666
"COAD Genes and covars test7" 0.696480938416422 NA
"COAD Genes train7" 0.651859005311444 0.0523195815728052
"COAD Genes test7" 0.626099706744868 NA
"COAD Covars train7" 0.727041434456021 0.0519185910759563
"COAD Covars test7" 0.607988165680473 NA
"COAD Genes and covars train8" 0.76474545862301 0.0515392765861874
"COAD Genes and covars test8" 0.76036036036036 NA
"COAD Genes train8" 0.729506365870002 0.0517690884045124
"COAD Genes test8" 0.616216216216216 NA
"COAD Covars train8" 0.661246916348957 0.0547631475758637
"COAD Covars test8" 0.743218806509946 NA
"COAD Genes and covars train9" 0.780406807804068 0.0465519366488394
"COAD Genes and covars test9" 0.69593147751606 NA
"COAD Genes train9" 0.772172834401489 0.0379221529183584
"COAD Genes test9" 0.458244111349036 NA
"COAD Covars train9" 0.685554171855542 0.0486577201658237
"COAD Covars test9" 0.731182795698925 NA
"COAD Genes and covars train10" 0.80249343832021 0.0370142066252101
"COAD Genes and covars test10" 0.806883365200765 NA
"COAD Genes train10" 0.733769063180828 0.0478464105705029
"COAD Genes test10" 0.692160611854685 NA
"COAD Covars train10" 0.672025371828521 0.0533086329588388
"COAD Covars test10" 0.760536398467433 NA
"COAD Genes and covars train11" 0.782067703568161 0.0412489502775925
"COAD Genes and covars test11" 0.804428044280443 NA
"COAD Genes train11" 0.724428179322964 0.0463644223628192
"COAD Genes test11" 0.641025641025641 NA
"COAD Covars train11" 0.669990850869167 0.0538052409168151
"COAD Covars test11" 0.690036900369004 NA
"COAD Genes and covars train12" 0.822002756086357 0.043324998005408
"COAD Genes and covars test12" 0.751962323390895 NA
"COAD Genes train12" 0.728956999085087 0.0527249441163389
"COAD Genes test12" 0.725274725274725 NA
"COAD Covars train12" 0.748277446026642 0.0472326118571213
"COAD Covars test12" 0.515055467511886 NA
"COAD Genes and covars train13" 0.810368727474355 0.0351653913698249
"COAD Genes and covars test13" 0.771971496437055 NA
"COAD Genes train13" 0.717493762129193 0.0554744101391324
"COAD Genes test13" 0.744730679156909 NA
"COAD Covars train13" 0.665372886054893 0.0518748706672121
"COAD Covars test13" 0.66945107398568 NA
"COAD Genes and covars train14" 0.772380744935744 0.0486548969151908
"COAD Genes and covars test14" 0.625231910946197 NA
"COAD Genes train14" 0.740507702321545 0.0436675724190143
"COAD Genes test14" 0.523191094619666 NA
"COAD Covars train14" 0.673818340230886 0.0566525655498538
"COAD Covars test14" 0.666666666666667 NA
"COAD Genes and covars train15" 0.76890923566879 0.0441170603214177
"COAD Genes and covars test15" 0.757075471698113 NA
"COAD Genes train15" 0.70890343049772 0.0560475946531611
"COAD Genes test15" 0.629716981132076 NA
"COAD Covars train15" 0.691779458598726 0.0459821924817433
"COAD Covars test15" 0.725118483412322 NA
"COAD Genes and covars train16" 0.80817730225449 0.0365009135044969
"COAD Genes and covars test16" 0.742857142857143 NA
"COAD Genes train16" 0.767897943640518 0.040491656195792
"COAD Genes test16" 0.6 NA
"COAD Covars train16" 0.670328620557891 0.0476668446966451
"COAD Covars test16" 0.783236994219653 NA
"COAD Genes and covars train17" 0.807343151099455 0.0427315455996625
"COAD Genes and covars test17" 0.638095238095238 NA
"COAD Genes train17" 0.792244323889894 0.035617681797352
"COAD Genes test17" 0.4 NA
"COAD Covars train17" 0.685999596530159 0.054404311370347
"COAD Covars test17" 0.687350835322196 NA
"COAD Genes and covars train18" 0.787208244922704 0.0448491924959636
"COAD Genes and covars test18" 0.695187165775401 NA
"COAD Genes train18" 0.684575913069725 0.0531987280841881
"COAD Genes test18" 0.632085561497326 NA
"COAD Covars train18" 0.706426189754471 0.0477612362399702
"COAD Covars test18" 0.664155005382131 NA
"COAD Genes and covars train19" 0.795236402417348 0.0337620831927685
"COAD Genes and covars test19" 0.733050847457627 NA
"COAD Genes train19" 0.723264872521246 0.0442719243332813
"COAD Genes test19" 0.627118644067797 NA
"COAD Covars train19" 0.694632065410594 0.043594640547409
"COAD Covars test19" 0.643776824034335 NA
"COAD Genes and covars train20" 0.810308799628512 0.044200401955039
"COAD Genes and covars test20" 0.722137404580153 NA
"COAD Genes train20" 0.738899167437558 0.0441066695657571
"COAD Genes test20" 0.638167938931298 NA
"COAD Covars train20" 0.727420478291154 0.0510976345004904
"COAD Covars test20" 0.570336391437309 NA
"COAD Genes and covars train21" 0.767808219178082 0.0400367554664257
"COAD Genes and covars test21" 0.774509803921569 NA
"COAD Genes train21" 0.704959053685168 0.0524284852778606
"COAD Genes test21" 0.568627450980392 NA
"COAD Covars train21" 0.646232876712329 0.0502955001749605
"COAD Covars test21" 0.747940691927512 NA
"COAD Genes and covars train22" 0.765128006206361 0.0389618697729526
"COAD Genes and covars test22" 0.811170212765957 NA
"COAD Genes train22" 0.725950349107836 0.0438430034016219
"COAD Genes test22" 0.68241469816273 NA
"COAD Covars train22" 0.68677269200931 0.0451850677679666
"COAD Covars test22" 0.736702127659574 NA
"COAD Genes and covars train23" 0.782702314731742 0.033538751813189
"COAD Genes and covars test23" 0.873646209386282 NA
"COAD Genes train23" 0.70105867575812 0.0450588540146766
"COAD Genes test23" 0.811387900355872 NA
"COAD Covars train23" 0.685627130809259 0.044085750208248
"COAD Covars test23" 0.790613718411552 NA
"COAD Genes and covars train24" 0.783258288988948 0.0418006493275974
"COAD Genes and covars test24" 0.727078891257996 NA
"COAD Genes train24" 0.722675367047308 0.050959221624553
"COAD Genes test24" 0.690831556503198 NA
"COAD Covars train24" 0.695251739664347 0.0470997487776519
"COAD Covars test24" 0.625267665952891 NA
"COAD Genes and covars train25" 0.774860956618465 0.0470973664132245
"COAD Genes and covars test25" 0.727115716753022 NA
"COAD Genes train25" 0.719688542825362 0.0548780142167242
"COAD Genes test25" 0.625641025641026 NA
"COAD Covars train25" 0.714349276974416 0.0444216419181063
"COAD Covars test25" 0.630662020905923 NA
"COAD Genes and covars train26" 0.736299161831077 0.049123928598818
"COAD Genes and covars test26" 0.76219512195122 NA
"COAD Genes train26" 0.672469374597034 0.0534889387876028
"COAD Genes test26" 0.761523046092184 NA
"COAD Covars train26" 0.662583279604556 0.0516566149350023
"COAD Covars test26" 0.684317718940937 NA
"COAD Genes and covars train27" 0.790264423076923 0.0422800483428168
"COAD Genes and covars test27" 0.694235588972431 NA
"COAD Genes train27" 0.738982371794872 0.045194132951207
"COAD Genes test27" 0.548148148148148 NA
